contract_address,evt_block_number,evt_block_time,evt_index,evt_tx_hash,from,to,value
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,20191780,2022-01-19T17:28:30+00:00,35,\x738e627dd8db6d6e74b6d11f9e9822158704fac6726cfbf9000ca059dbf8abd0,\x080c696b7bd6d830bf5092fe7dfcb72b42bdd8b7,\xc91d300d342ec4ebbc61b3ae75dc5d7245109dd9,454607241570024360000
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,20291118,2022-01-25T11:36:45+00:00,34,\x32f09486a2732624e011324b2087c2b79e2372286409da9e378389a92fce9601,\x0000000000000000000000000000000000000000,\x2d96e1fe38ff45cc8910c617b3c5e0b6298a81f3,1.201865272136768e+21
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,23076150,2022-07-09T09:36:05+00:00,102,\xb811e331b689380930c93ca861550815d549023ebbe5a35c36af8be2cac0f17c,\x2723875bff110974e712019e4ab631dcac97910d,\x6897abe0fd62b589260784b21f4ca3f78a0d8017,49765921815197640000
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,20301600,2022-01-26T02:10:45+00:00,62,\x30d83f8bb224049f2b0123f031fecda73aa3ab0e8da3229df6aa1754b47040c2,\x2769e63ebc6cf6e9803ed87aea125eb596a38f95,\x4c8692cc08b14fa8b74b6f313394b8997aad721d,43843033576014830000
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,20292734,2022-01-25T13:51:25+00:00,5,\xf2a0efc09217a5f1b679f39dc9333415d8c1a9fef53a73aec52dd2e2ed3198e5,\x0000000000000000000000000000000000000000,\x6c965b656c450259a6d4d95a2e68fb4319eecbc0,25873704361234350000
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,22343579,2022-05-26T12:51:35+00:00,2,\xbfcb0416d91c3343331378ff6d9c824923a2df87dee208a738d11f3932acf4ff,\x98f6a05f0cf0a07c9cb988ee152f346b34d6b8da,\x71641d6656ffb673f471ea292ea09ac528cc4df2,13672531438569710000
\x4291f029b9e7acb02d49428458cf6fceac545f81,23775634,2022-08-19T09:34:30+00:00,17,\x493235735f2317a26e483606211e9075eef83ca4ddbcff19352472efb7c15b60,\x8f24603a9d35b062778401ccca7cc0a9e87ef813,\xa84126976cea8e94940593a81f121266487382a5,13830243718960847000
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,22347358,2022-05-26T18:25:25+00:00,9,\x1532b27721b262a41e448ce9408cda99bbedcb276f08de16a0b06c7223c6939e,\x71641d6656ffb673f471ea292ea09ac528cc4df2,\x8aa27e90e139d5ab5704df69429341cbcb2d2464,65006395981745275000
\x4291f029b9e7acb02d49428458cf6fceac545f81,23767655,2022-08-18T22:08:45+00:00,18,\x76c99a96d3737017601f95477db5a152435bb8cab67df3333ef2fb8beac8fb98,\xd1a978936d371ca638ee091c755f8622a421f4ec,\xe96adbd48d57ef7a5ee8fa622c1cd7fc7731630e,11267511719884319000
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,24074302,2022-09-07T04:25:30+00:00,1,\x27b991df5f3eb32ae649850c1d1719ea8d6258e4ae0321895e7511a02de6d1ab,\x4c8692cc08b14fa8b74b6f313394b8997aad721d,\x7d9395c09ab2b1ac7417158d57b44722e2e6f12c,798969876344512400
